               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.052262,             0.11077,          3.1916e-08,             0.30025,             0.21925,             0.17739,            0.038247,            0.047017,             0.11702,          3.2027e-08,           0.0094555,           0.0094555,           0.0094555
                  35,            0.051556,             0.10809,          3.1982e-08,             0.27109,             0.21747,             0.17144,            0.036614,            0.047792,              0.1212,          3.2616e-08,            0.009439,            0.009439,            0.009439
                  36,            0.052709,             0.10936,          3.1961e-08,             0.33756,             0.26916,             0.20458,            0.049887,            0.046909,             0.11914,          3.2366e-08,           0.0094225,           0.0094225,           0.0094225
                  37,            0.051882,             0.10317,          3.2169e-08,             0.33144,             0.25847,             0.21865,            0.054105,            0.047124,              0.1205,          3.2601e-08,            0.009406,            0.009406,            0.009406
                  38,            0.051873,             0.10702,          3.2103e-08,             0.31644,             0.26654,             0.20269,            0.043417,              0.0464,             0.11797,          3.2607e-08,           0.0093895,           0.0093895,           0.0093895
                  39,             0.05115,            0.099415,          3.2526e-08,             0.31426,              0.2852,              0.2242,             0.05417,            0.046463,             0.11849,          3.3041e-08,            0.009373,            0.009373,            0.009373
                  40,            0.053019,             0.11386,          3.2312e-08,             0.28501,             0.26575,             0.19545,            0.046812,            0.046384,             0.12265,          3.2878e-08,           0.0093565,           0.0093565,           0.0093565
                  41,            0.052494,             0.10552,          3.2486e-08,             0.35422,             0.26381,             0.22736,            0.055136,            0.045132,             0.11822,          3.2502e-08,             0.00934,             0.00934,             0.00934
                  42,            0.050962,              0.1083,           3.248e-08,             0.27544,             0.28699,             0.22148,            0.056793,             0.04618,             0.11857,          3.2634e-08,           0.0093235,           0.0093235,           0.0093235
                  43,            0.051596,             0.10495,          3.2275e-08,             0.27909,             0.26916,             0.18611,            0.047885,            0.045898,             0.12379,          3.2354e-08,            0.009307,            0.009307,            0.009307
                  44,            0.051026,             0.10526,          3.2224e-08,             0.31228,             0.24777,             0.18525,            0.043694,             0.04638,             0.12263,          3.2153e-08,           0.0092905,           0.0092905,           0.0092905
                  45,            0.051441,             0.10376,           3.209e-08,             0.31059,             0.29768,              0.2246,            0.055401,            0.045637,             0.13003,          3.2513e-08,            0.009274,            0.009274,            0.009274
                  46,            0.050781,              0.1052,          3.2331e-08,             0.34771,             0.28699,             0.22954,            0.054836,            0.045886,              0.1207,          3.2514e-08,           0.0092575,           0.0092575,           0.0092575
                  47,            0.050728,             0.10219,          3.2188e-08,             0.40169,             0.25312,             0.23654,            0.058122,            0.045977,             0.11781,          3.2422e-08,            0.009241,            0.009241,            0.009241
                  48,            0.049527,             0.09941,          3.2326e-08,              0.3876,             0.29947,             0.24664,            0.062703,            0.045251,             0.12737,           3.283e-08,           0.0092245,           0.0092245,           0.0092245
                  49,            0.050533,              0.1003,          3.2296e-08,             0.21243,              0.3262,             0.18102,            0.047721,            0.046201,             0.12899,          3.2619e-08,            0.009208,            0.009208,            0.009208
                  50,            0.049711,            0.099311,          3.2191e-08,             0.30167,             0.27986,             0.20904,            0.049154,            0.046901,             0.12388,          3.2505e-08,           0.0091915,           0.0091915,           0.0091915
                  51,            0.050227,             0.10373,          3.1877e-08,             0.33449,             0.24777,             0.19905,              0.0465,            0.046309,              0.1308,          3.2602e-08,            0.009175,            0.009175,            0.009175
                  52,            0.051105,             0.10099,          3.1798e-08,             0.39073,             0.30481,             0.25521,             0.06215,             0.04508,             0.11952,          3.2185e-08,           0.0091585,           0.0091585,           0.0091585
                  53,            0.050327,             0.10109,          3.1984e-08,             0.32077,             0.29768,             0.24493,             0.06144,            0.044527,             0.11941,          3.2468e-08,            0.009142,            0.009142,            0.009142
                  54,            0.049435,            0.098092,          3.1984e-08,             0.38592,             0.26738,             0.23383,            0.059794,            0.044798,             0.12067,          3.2392e-08,           0.0091255,           0.0091255,           0.0091255
                  55,            0.050697,            0.097685,          3.1876e-08,             0.42434,             0.32086,             0.26868,            0.071558,            0.044939,             0.12566,          3.2585e-08,            0.009109,            0.009109,            0.009109
                  56,            0.050028,             0.10366,          3.2065e-08,             0.38311,             0.27273,             0.23869,            0.060675,             0.04568,             0.11991,          3.2446e-08,           0.0090925,           0.0090925,           0.0090925
                  57,            0.048751,            0.096613,          3.1855e-08,             0.34914,             0.31555,             0.24307,            0.062484,            0.046039,             0.12286,          3.2329e-08,            0.009076,            0.009076,            0.009076
                  58,            0.050002,            0.098378,          3.1942e-08,             0.33011,             0.31194,              0.2332,            0.060348,            0.046056,             0.12151,          3.2586e-08,           0.0090595,           0.0090595,           0.0090595
                  59,            0.050152,              0.1002,          3.2185e-08,              0.3481,             0.29947,             0.24476,             0.07052,            0.044975,             0.12212,          3.2288e-08,            0.009043,            0.009043,            0.009043
                  60,             0.04931,             0.10221,          3.1928e-08,             0.36523,             0.35294,             0.27911,            0.073309,            0.045718,             0.12198,          3.2594e-08,           0.0090265,           0.0090265,           0.0090265
                  61,             0.04966,            0.098907,           3.207e-08,             0.42428,              0.2549,              0.2493,            0.065557,            0.045525,             0.12531,          3.2587e-08,             0.00901,             0.00901,             0.00901
                  62,            0.049599,            0.095218,          3.2088e-08,             0.37246,             0.30303,             0.23909,            0.057656,            0.045896,             0.12177,          3.2781e-08,           0.0089935,           0.0089935,           0.0089935
                  63,             0.04984,            0.093348,          3.1944e-08,             0.31744,             0.29768,             0.21368,            0.057588,            0.045336,             0.12244,          3.2047e-08,            0.008977,            0.008977,            0.008977
                  64,            0.049022,              0.0978,          3.1936e-08,             0.37664,             0.32977,              0.2561,            0.071753,            0.045391,             0.12262,          3.2671e-08,           0.0089605,           0.0089605,           0.0089605
                  65,            0.048182,            0.092353,          3.2019e-08,             0.35024,             0.26381,             0.23323,            0.055434,            0.045342,             0.12871,          3.2676e-08,            0.008944,            0.008944,            0.008944
                  66,            0.049182,            0.096025,          3.2001e-08,             0.40757,             0.31271,              0.2574,            0.074062,            0.044599,             0.12637,          3.2624e-08,           0.0089275,           0.0089275,           0.0089275
                  67,            0.048015,             0.09379,          3.1987e-08,             0.41505,             0.29234,             0.27039,            0.069696,            0.045591,             0.12285,           3.244e-08,            0.008911,            0.008911,            0.008911
                  68,            0.048187,            0.093518,          3.1951e-08,             0.43731,             0.32977,             0.28806,             0.07455,            0.045563,             0.12879,          3.2378e-08,           0.0088945,           0.0088945,           0.0088945
                  69,             0.04838,            0.096028,          3.1926e-08,             0.42448,             0.27629,             0.26609,            0.070464,            0.044623,             0.12828,          3.2372e-08,            0.008878,            0.008878,            0.008878
                  70,            0.048444,            0.096605,          3.1802e-08,             0.38772,             0.29235,             0.25201,            0.071555,            0.045042,             0.12767,          3.2533e-08,           0.0088615,           0.0088615,           0.0088615
                  71,            0.048094,            0.089555,          3.1916e-08,             0.39467,             0.31016,             0.25982,            0.071169,            0.044909,             0.13002,          3.2727e-08,            0.008845,            0.008845,            0.008845
                  72,            0.048468,            0.093325,          3.1881e-08,             0.41441,             0.29645,              0.2783,            0.076348,            0.045562,              0.1325,           3.272e-08,           0.0088285,           0.0088285,           0.0088285
                  73,            0.046788,            0.092904,          3.2173e-08,             0.39712,             0.30125,             0.28146,            0.075925,            0.045408,             0.13013,          3.2849e-08,            0.008812,            0.008812,            0.008812
                  74,            0.047093,            0.088353,          3.2138e-08,             0.35804,             0.27094,             0.22467,            0.059044,            0.046451,             0.13791,          3.2934e-08,           0.0087955,           0.0087955,           0.0087955
                  75,            0.048455,            0.090245,           3.199e-08,             0.36021,              0.2959,             0.25958,            0.069178,            0.045738,             0.12817,          3.2608e-08,            0.008779,            0.008779,            0.008779
                  76,            0.047642,            0.092893,          3.2004e-08,             0.41025,             0.25847,             0.24141,            0.066677,            0.045303,             0.13041,          3.2607e-08,           0.0087625,           0.0087625,           0.0087625
                  77,            0.047405,            0.091771,          3.1975e-08,             0.41381,             0.29823,             0.26941,            0.070001,             0.04493,             0.12664,          3.2336e-08,            0.008746,            0.008746,            0.008746
                  78,            0.047887,            0.090791,          3.1977e-08,             0.37721,             0.31551,             0.25464,            0.066053,            0.046055,             0.12655,          3.2715e-08,           0.0087295,           0.0087295,           0.0087295
                  79,              0.0472,            0.090096,          3.2237e-08,             0.38677,             0.30481,             0.26191,            0.076842,            0.045142,             0.12939,          3.3059e-08,            0.008713,            0.008713,            0.008713
                  80,            0.047389,            0.092234,          3.2418e-08,             0.41482,             0.31016,             0.26001,            0.077737,            0.046079,             0.13493,          3.3026e-08,           0.0086965,           0.0086965,           0.0086965
                  81,            0.047202,            0.088911,          3.2524e-08,             0.38176,              0.2994,             0.25475,            0.065827,            0.045874,             0.13636,          3.3269e-08,             0.00868,             0.00868,             0.00868
                  82,            0.046664,             0.08529,          3.2453e-08,             0.42211,             0.32086,              0.2916,            0.080654,            0.045237,             0.12794,          3.3127e-08,           0.0086635,           0.0086635,           0.0086635
                  83,            0.046876,            0.086358,          3.2025e-08,             0.40166,             0.33512,             0.27741,            0.079003,            0.045411,             0.13117,          3.2911e-08,            0.008647,            0.008647,            0.008647
                  84,            0.047073,            0.089253,          3.2054e-08,             0.44171,             0.32264,             0.28235,            0.079041,            0.045382,             0.13441,          3.2745e-08,           0.0086305,           0.0086305,           0.0086305
                  85,            0.047675,            0.086987,          3.2034e-08,             0.44213,             0.30938,             0.28605,            0.082183,            0.044978,             0.12936,          3.2644e-08,            0.008614,            0.008614,            0.008614
                  86,            0.046864,            0.089039,          3.2167e-08,             0.42458,             0.29768,             0.27644,            0.082933,            0.044686,             0.13216,          3.2708e-08,           0.0085975,           0.0085975,           0.0085975
                  87,            0.046269,            0.086762,          3.2344e-08,             0.41398,             0.33868,             0.28955,            0.079872,            0.044959,             0.12999,          3.2929e-08,            0.008581,            0.008581,            0.008581
                  88,            0.046987,            0.083541,          3.2235e-08,              0.3858,             0.31373,             0.24392,            0.064654,            0.046091,             0.13821,          3.3059e-08,           0.0085645,           0.0085645,           0.0085645
                  89,            0.047412,            0.085653,          3.2247e-08,             0.34668,             0.31907,              0.2517,            0.070005,            0.046045,             0.13462,          3.2804e-08,            0.008548,            0.008548,            0.008548
                  90,            0.046145,            0.082639,          3.2019e-08,             0.47513,              0.2549,             0.24612,            0.068157,            0.045253,             0.14024,           3.276e-08,           0.0085315,           0.0085315,           0.0085315
                  91,            0.046784,            0.089648,          3.2343e-08,              0.4131,             0.30481,             0.26529,            0.074625,            0.045883,             0.13362,           3.319e-08,            0.008515,            0.008515,            0.008515
                  92,            0.046343,            0.081022,          3.2296e-08,             0.44723,             0.33868,             0.28838,            0.079535,            0.045149,             0.13292,          3.2925e-08,           0.0084985,           0.0084985,           0.0084985
                  93,            0.045331,            0.083147,          3.2572e-08,             0.47036,             0.29055,             0.28316,            0.079665,            0.046175,             0.13353,          3.3011e-08,            0.008482,            0.008482,            0.008482
                  94,            0.045972,            0.085103,          3.2547e-08,             0.42465,             0.30481,             0.27212,            0.077146,            0.046557,              0.1348,          3.3172e-08,           0.0084655,           0.0084655,           0.0084655
