               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.054334,             0.12281,          3.4858e-08,             0.18465,             0.23351,             0.12126,            0.028041,            0.049025,             0.12359,          3.4607e-08,           0.0094555,           0.0094555,           0.0094555
                  35,            0.053532,             0.12264,          3.5022e-08,             0.19037,              0.2549,             0.12078,            0.026045,            0.047953,             0.12134,           3.524e-08,            0.009439,            0.009439,            0.009439
                  36,            0.054494,             0.12228,          3.5006e-08,             0.25601,             0.24421,             0.15784,            0.038996,             0.04726,             0.12074,           3.564e-08,           0.0094225,           0.0094225,           0.0094225
                  37,            0.054036,             0.11502,          3.5593e-08,              0.2425,             0.20677,             0.15107,            0.035753,              0.0476,             0.12434,          3.6352e-08,            0.009406,            0.009406,            0.009406
                  38,            0.054309,             0.11809,          3.5094e-08,             0.24975,             0.25668,             0.15584,            0.034605,             0.04722,             0.12067,          3.6225e-08,           0.0093895,           0.0093895,           0.0093895
                  39,            0.053063,             0.11148,          3.4844e-08,             0.25452,             0.28164,             0.17829,            0.042271,            0.046685,             0.12178,          3.5983e-08,            0.009373,            0.009373,            0.009373
                  40,            0.054823,             0.12815,           3.423e-08,             0.25795,             0.23708,             0.15947,            0.037823,            0.046708,             0.12147,          3.4308e-08,           0.0093565,           0.0093565,           0.0093565
                  41,            0.054531,             0.11851,          3.4367e-08,             0.25236,             0.21569,             0.15041,            0.039069,            0.046183,             0.12293,          3.5262e-08,             0.00934,             0.00934,             0.00934
                  42,            0.053379,             0.12149,          3.4776e-08,             0.24026,             0.24064,             0.15804,            0.038569,            0.047261,             0.11988,           3.521e-08,           0.0093235,           0.0093235,           0.0093235
                  43,             0.05324,             0.12018,          3.4606e-08,              0.2819,             0.25134,             0.17789,            0.038131,            0.047349,             0.12184,          3.4589e-08,            0.009307,            0.009307,            0.009307
                  44,            0.052918,             0.12018,          3.4838e-08,             0.25044,              0.2852,             0.19199,            0.048007,            0.046767,              0.1248,          3.6113e-08,           0.0092905,           0.0092905,           0.0092905
                  45,            0.053334,             0.11659,           3.496e-08,             0.24173,             0.20499,             0.14101,            0.030944,            0.046508,              0.1202,          3.5375e-08,            0.009274,            0.009274,            0.009274
                  46,             0.05313,             0.11794,           3.488e-08,             0.26443,             0.24777,             0.16902,            0.039377,            0.046489,             0.11954,          3.4667e-08,           0.0092575,           0.0092575,           0.0092575
                  47,            0.052893,             0.11796,           3.502e-08,             0.27796,             0.24242,             0.17189,            0.044084,            0.046572,             0.12208,          3.6487e-08,            0.009241,            0.009241,            0.009241
                  48,            0.051805,             0.11188,          3.4892e-08,              0.3152,             0.22816,             0.18095,            0.048207,            0.045795,             0.12065,          3.5908e-08,           0.0092245,           0.0092245,           0.0092245
                  49,            0.053268,             0.11656,          3.5014e-08,             0.29497,             0.27629,             0.21083,             0.05141,            0.045891,             0.11972,          3.6161e-08,            0.009208,            0.009208,            0.009208
                  50,            0.051958,             0.11422,           3.498e-08,             0.30568,             0.26203,             0.19805,            0.048182,            0.046215,             0.11866,          3.5205e-08,           0.0091915,           0.0091915,           0.0091915
                  51,            0.052353,             0.11911,          3.4877e-08,             0.24632,              0.2852,             0.17771,            0.045315,            0.046441,             0.11989,          3.5314e-08,            0.009175,            0.009175,            0.009175
                  52,             0.05328,             0.11583,          3.5187e-08,             0.25143,             0.31016,             0.20135,            0.048653,            0.045716,             0.11946,          3.5595e-08,           0.0091585,           0.0091585,           0.0091585
                  53,            0.052556,             0.11734,           3.477e-08,              0.2633,             0.28286,             0.18607,             0.04966,            0.045035,             0.11732,          3.4719e-08,            0.009142,            0.009142,            0.009142
