               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.023945,                0.02,          3.1612e-08,             0.74862,             0.76788,             0.78149,             0.39992,            0.021838,            0.017608,          3.1621e-08,           0.0094555,           0.0094555,           0.0094555
                  35,            0.023962,            0.019911,          3.1666e-08,             0.76142,             0.72997,             0.78033,             0.41112,            0.021623,            0.017402,          3.1367e-08,            0.009439,            0.009439,            0.009439
                  36,            0.023941,            0.019954,          3.1747e-08,             0.74863,             0.77003,             0.78195,             0.38848,            0.021897,            0.017834,          3.1657e-08,           0.0094225,           0.0094225,           0.0094225
                  37,            0.023908,            0.019694,          3.1708e-08,             0.74587,             0.75784,             0.78329,             0.40061,            0.022448,            0.017912,          3.1476e-08,            0.009406,            0.009406,            0.009406
                  38,            0.023601,            0.020065,          3.1573e-08,             0.77438,             0.77135,             0.80575,             0.41524,            0.021625,            0.017188,           3.137e-08,           0.0093895,           0.0093895,           0.0093895
                  39,             0.02381,            0.019032,          3.1433e-08,             0.79496,              0.7439,             0.80403,              0.4243,            0.021172,            0.017286,          3.1441e-08,            0.009373,            0.009373,            0.009373
                  40,            0.023272,             0.01961,          3.1513e-08,             0.72071,             0.78049,             0.77837,             0.40856,            0.021297,            0.017379,          3.1403e-08,           0.0093565,           0.0093565,           0.0093565
                  41,            0.023293,            0.019102,          3.1394e-08,             0.78039,             0.71603,             0.78077,             0.41529,            0.021791,            0.017842,           3.153e-08,             0.00934,             0.00934,             0.00934
                  42,            0.023428,            0.019389,           3.154e-08,             0.75783,             0.77414,             0.78517,             0.42239,            0.021136,            0.017212,          3.1184e-08,           0.0093235,           0.0093235,           0.0093235
                  43,            0.023117,            0.019795,          3.1706e-08,             0.77399,             0.77558,             0.79634,              0.4192,            0.021268,            0.017072,          3.1732e-08,            0.009307,            0.009307,            0.009307
                  44,            0.023341,            0.019428,          3.1635e-08,             0.77016,             0.77178,              0.7965,             0.42167,            0.021514,            0.017019,          3.1566e-08,           0.0092905,           0.0092905,           0.0092905
                  45,            0.022843,            0.019574,           3.161e-08,             0.78586,             0.76829,             0.80847,             0.42134,            0.021592,            0.017465,          3.1504e-08,            0.009274,            0.009274,            0.009274
                  46,            0.022871,            0.018912,          3.1619e-08,             0.76414,             0.74216,             0.79851,             0.43335,            0.020985,            0.017043,          3.1413e-08,           0.0092575,           0.0092575,           0.0092575
                  47,            0.022846,            0.019455,          3.1539e-08,             0.78818,               0.777,             0.82849,             0.44278,            0.020721,            0.016804,           3.131e-08,            0.009241,            0.009241,            0.009241
                  48,            0.022513,            0.018433,          3.1511e-08,             0.80649,              0.7561,             0.81072,             0.42464,            0.021433,             0.01685,          3.1275e-08,           0.0092245,           0.0092245,           0.0092245
                  49,            0.022874,            0.019068,          3.1511e-08,             0.80657,             0.72125,             0.79687,             0.41692,            0.021712,            0.016861,          3.1365e-08,            0.009208,            0.009208,            0.009208
                  50,            0.022824,            0.019389,          3.1478e-08,             0.79028,             0.75497,             0.79696,             0.41436,            0.021353,            0.017099,          3.1204e-08,           0.0091915,           0.0091915,           0.0091915
                  51,            0.022765,            0.019121,          3.1494e-08,             0.77672,              0.7892,             0.81013,             0.42404,            0.021559,            0.016884,          3.1167e-08,            0.009175,            0.009175,            0.009175
                  52,            0.022687,            0.019054,          3.1495e-08,             0.75905,              0.7561,             0.80031,             0.41349,             0.02155,              0.0174,          3.1348e-08,           0.0091585,           0.0091585,           0.0091585
